prf_npi,name
"1003003948","DANIEL CHRISTENSEN"
"1003005430","LAURA BEAUMONT"
"1003009598","ANITA KATZ"
"1003013574","KAREN LADANYE"
"1003016684","RALPH ALLSOPP"
"1003021924","PAUL GEDO"
"1003033267","MARIA BERNECKER"
"1003034570","PETER BURGHER"
"1003037441","TRUDI ZAPLAC"
"1003037458","DEVON WHITEHEAD"
"1003037888","CAROLE KANT"
"1003039314","QUIN CROSBIE"
"1003039918","LOIS SCHUSTER"
"1003045477","ANN LAFRANCE"
"1003047259","SUE EI"
"1003047283","HEIDI JOSHI"
"1003047382","KRISTEN HICK"
"1003050626","MADELINE SCHWARTZ"
"1003054545","AMANDA MULFINGER"
"1003065293","ROBIN RENDERS"
"1003065921","GEORGE SHOENBERGER"
"1003080771","CLAREN KEALOHA-BEAUDET"
"1003085622","MARIA BURGOS CARRION"
"1003092008","CHRISTINA BLODGETT"
"1003092198","JASWINDER SINGH"
"1003095134","LYDIA GOLUB"
"1003095415","STEPHEN CLARK"
"1003106543","JESUS ARANDA CANO"
"1003116047","SHERRI JEFFERY"
"1003116112","AMANDA BALL"
"1003122979","SHARON JONES-FORRESTER"
"1003142480","SARAH HANLY"
"1003149576","MICHAEL BACHOP"
"1003149790","NICOLE CROSS-HILLMAN"
"1003165549","CHRISTIE SWOREN PARISE"
"1003167511","ELIZABETH VANHORN"
"1003170580","SUSAN ENCK"
"1003172693","RUKHSANA CHAUDHRY"
"1003181702","THOMAS FARRINGTON"
"1003181793","SARAH HASTINGS"
"1003253949","MICHAEL BROOK"
"1003258716","SKYE OCHSNER MARGOLIES"
"1003801630","JOYZELLE MCCREARY"
"1003803198","ROBERT WERNICK"
"1003805102","JOHN BOLTER"
"1003805938","ROBERT DIBBLE"
"1003809500","WILLIAM DUANE"
"1003809658","TERESA DALMAU"
"1003809740","SHARON LAMB"
"1003809856","CHRISTIAN BABO"
"1003816091","LEANNA MANUEL"
"1003816992","DOUGLAS WATT"
"1003817081","CHRISTINA CLARK"
"1003818899","RICHARD SHAPIRO"
"1003819566","JOHN MILLER"
"1003821935","EARL RECTANUS"
"1003822768","KURT GOERWITZ"
"1003822982","BRENT HALDERMAN"
"1003824541","GARY BORER"
"1003824947","NEIL WILSON"
"1003825001","LISA WATTS"
"1003825290","MARI MARKS"
"1003825340","CYNTHIA CAVAZOS GONZALEZ"
"1003826074","DONNA MAIER"
"1003826959","ANGELA STOKES"
"1003829128","SUZANNE LENZ"
"1003832932","SUSAN DAY"
"1003833096","RAYMOND HORN"
"1003833849","KENNETH FREUNDLICH"
"1003833906","SARWAT WARAICH"
"1003835331","DON ELLIGAN"
"1003835810","DANIEL GUERRA"
"1003836172","MARVIN DELUTY"
"1003837923","RONALD KULICH"
"1003838095","JEFFREY WERTHEIMER"
"1003838376","ROBERT TASOFF"
"1003839887","WILLIAM GENTRY"
"1003841404","KRISTINE DONOVAN"
"1003845546","ANN VANDERMAELEN"
"1003846106","JOHN CROCKETT"
"1003846239","MARY BETH BARNES"
"1003846536","CAROLINE SANFORD"
"1003848003","TERRY SIGLEY"
"1003848367","ALLAN WESTREICH"
"1003848730","LYNN FARNEY"
"1003849860","ALAN KLEINKOPF"
"1003850330","AMARO LARIA"
"1003850959","THOMAS KEEFE"
"1003852120","ANNETTE CONWAY"
"1003854191","PAMELA LANGELIER"
"1003854712","BRETT DOWDY"
"1003855024","DALE VEITH"
"1003855743","LELAND MARTIN"
"1003856113","MATTHEW BUSH"
"1003856121","NICOLA CHUNG"
"1003856626","MARGARET SMITH"
"1003857004","BARRIE ARACHTINGI"
"1003857780","SHERI WHEELOCK"
"1003858572","R SCOTT FURDA"
"1003859554","CHARLES ALEXANDER"
"1003859992","SARAH JACKSON"
"1003860610","PATRICIA HANSON"
"1003860776","CHRISTOPHER NELSON"
"1003862137","LANA DELSHADI"
"1003863887","LUCRETIA KREBS"
"1003865163","STANLEY RAY"
"1003865569","AARON WHITNEY"
"1003865577","ROBERT MEYER"
"1003866294","JOEL GARFUNKEL"
"1003866559","ELLEN MITCHELL"
"1003866922","DEBRA VINER"
"1003867995","JEFFREY ULMER"
"1003868134","GERALD STRAG"
"1003869694","MARVIN BOEDING"
"1003873175","STEVEN HICKMAN"
"1003875246","ELSIE GORDON"
"1003876277","CANDACE CHAMBERS-SMITH"
"1003876855","GARY ELKINS"
"1003877671","DENNIS LINDENBAUM"
"1003878323","BARBARA MARTIN"
"1003878414","RICHARD LANDIS"
"1003881533","HAROLD SMITH"
"1003883406","MICHAEL STUTTS"
"1003884743","ALAN GILBERTSON"
"1003886938","DALE GODY"
"1003890310","ROBERT GALLIGAN"
"1003890757","FRANKLIN BORAKS"
"1003895657","CORNELIUS MAHONEY"
"1003896572","RACHEL NIJAKOWSKI"
"1003899394","GABRIELA MUNOZ"
"1003901604","KRISTEN ECKELHOFF"
"1003903485","MOLLY NEMANN"
"1003904491","BEATRIZ COCA"
"1003905779","SCOTT BEA"
"1003905787","RICHARD AZRIN"
"1003907049","AMY JOHNSON"
"1003907791","JARED SCHERZ"
"1003908211","GAIL IHLE"
"1003908823","ERNEST RIVERA"
"1003910480","DAVID STRUS"
"1003910498","DAVID KIRSCHNER"
"1003912924","RUSSEL THOMPSON"
"1003913435","TIMOTHY AMBROSE"
"1003914797","JAMES HALEY"
"1003914870","STEVEN SALDUKAS"
"1003915893","MONICA KURYLO"
"1003916313","WALLACE VARONKO"
"1003917444","MARIA MASCIANDARO"
"1003917527","JAMES ESMAIL"
"1003917907","MONICA JACOBSON"
"1003919408","JACQUELYN MUNIZ"
"1003920208","CHRISTINE BACHMANN"
"1003920745","DAVID MCINTYRE"
"1003922089","GEORGE MORRERA"
"1003922097","ROBERT MEIER"
"1003923210","LAURA SHACKELFORD"
"1003924184","LYNN HUNGERFORD"
"1003926163","WILLIAM MCFARLAND"
"1003929274","THOMAS MILLARD"
"1003932997","MARISSA ROBINSON"
"1003934753","JOANNA WILLIAMS"
"1003937202","KRISTA BRITTAIN"
"1003938176","CHARLES WILSON"
"1003938812","DOLORES REILLY"
"1003939349","JANEANE REAGAN"
"1003940396","STEWART LIPNER"
"1003940818","DAVID HESCHELES"
"1003943432","PATRICIA LAYTON"
"1003944224","DEBORAH WALSH"
"1003946179","PARDIS AMIRHOUSHMAND"
"1003949520","JAMES SMITH"
"1003951344","ANGELO DOMINGO"
"1003951765","STEPHAN WEINLAND"
